;datatrimestre;valorPix;valorTED;valorTEC;valorCheque;valorBoleto;valorDOC;valorCartaoCredito;valorCartaoDebito;valorCartaoPrePago;valorTransIntrabancaria;valorConvenios;valorDebitoDireto;valorSaques;quantidadePix;quantidadeTED;quantidadeTEC;quantidadeCheque;quantidadeBoleto;quantidadeDOC;quantidadeCartaoCredito;quantidadeCartaoDebito;quantidadeCartaoPrePago;quantidadeTransIntrabancaria;quantidadeConvenios;quantidadeDebitoDireto;quantidadeSaques
14;2021-06-30;1105735200000,0;8566787270000,0;3894810000,0;264944310000,0;1839452360000,0;23158840000,0;344999680000,0;214381060000,0;26760540000,0;4171595710000,0;710453340000,0;604018430000,0;685333150000,0;187156400,0;33391800,0;187900,0;7541800,0;143142700,0;2865900,0;284199300,0;314169100,0;126491700,0;26075700,0;73393700,0;170901000,0;92445000,0
15;2021-03-31;625046520000,0;7894414160000,0;4352440000,0;253527920000,0;1769759680000,0;21777700000,0;310412130000,0;204752910000,0;20327690000,0;3965203170000,0;728627480000,0;497283040000,0;673126600000,0;86233800,0;35417100,0;218100,0;7941000,0;138608100,0;3168700,0;258440400,0;300500500,0;101690100,0;27442000,0;76614200,0;170425400,0;92623400,0
16;2020-12-31;149894910000,0;8036705320000,0;5137420000,0;278295370000,0;1919100600000,0;38705140000,0;332987170000,0;258471490000,0;19923510000,0;4095052120000,0;719279590000,0;456624590000,0;765824470000,0;17620700,0;57488000,0;255000,0;9159500,0;147286900,0;5863400,0;267266600,0;348350900,0;105694700,0;34882800,0;75024300,0;170053200,0;108457400,0
17;2020-09-30;0,0;7503982240000,0;4159600000,0;259334880000,0;1959819720000,0;52156840000,0;279176980000,0;228771890000,0;14809510000,0;3864293290000,0;620034560000,0;415448620000,0;723099800000,0;0,0;54115800,0;202400,0;8696600,0;138921600,0;7437800,0;228009600,0;295701600,0;79530200,0;33801800,0;77608600,0;162325200,0;100973800,0
18;2020-06-30;0,0;6267004160000,0;4647320000,0;237873120000,0;1366623210000,0;50881150000,0;224389540000,0;152246790000,0;8969460000,0;3619039330000,0;480987360000,0;440102050000,0;663932320000,0;0,0;38138700,0;226700,0;8535500,0;125681200,0;7376400,0;190792900,0;225958400,0;53354600,0;30306300,0;75235100,0;154258100,0;93464500,0
19;2020-03-31;0,0;6652135130000,0;4829560000,0;318844920000,0;1526486760000,0;30628550000,0;275659090000,0;171399490000,0;8700250000,0;4138724780000,0;700965210000,0;481940350000,0;719800780000,0;0,0;32938600,0;241600,0;11523800,0;118451100,0;4350400,0;249278300,0;275791400,0;57750100,0;29399700,0;86076400,0;152264500,0;103492500,0
20;2019-12-31;0,0;6560042730000,0;6343770000,0;372693660000,0;1579497090000,0;37728790000,0;302888190000,0;193673010000,0;8940680000,0;3774510810000,0;709453520000,0;1179392450000,0;866834600000,0;0,0;32435000,0;318500,0;13472600,0;119039800,0;5175700,0;268108300,0;310243300,0;15951000,0;36551600,0;78676300,0;145919400,0;123736600,0
21;2019-09-30;0,0;6285701440000,0;5469660000,0;385735210000,0;1484836270000,0;39652790000,0;272414670000,0;164735630000,0;7803220000,0;3378209530000,0;713191480000,0;1172377680000,0;825956860000,0;0,0;27665600,0;275100,0;13832300,0;115511300,0;5338800,0;251632800,0;274930600,0;10932400,0;34749600,0;86413900,0;151440500,0;115022400,0
22;2019-06-30;0,0;5700739790000,0;5506270000,0;388525470000,0;1409618750000,0;34716550000,0;253161380000,0;153747190000,0;6572850000,0;3090737620000,0;677754240000,0;1009756110000,0;810157400000,0;0,0;23264400,0;284800,0;13815900,0;107681300,0;4773900,0;232447700,0;252477500,0;7790400,0;33109500,0;81180300,0;141874900,0;111464300,0
23;2019-03-31;0,0;5039380730000,0;4794820000,0;375916280000,0;1468066320000,0;35812800000,0;235435490000,0;151764670000,0;5019160000,0;2977140950000,0;922161770000,0;1096747510000,0;807704630000,0;0,0;19972700,0;258800,0;13962100,0;102058400,0;5245000,0;208134900,0;247124500,0;5884800,0;30765000,0;91378400,0;138146700,0;110390600,0
